
2021-12-03;16-35-50-649934  ;;;  b'Strike Detected! reading of; 303; High, Low; 187, -139; Current Danger Level; 5; at tic; 16305980\r\n'
2021-12-03;16-39-14-853556  ;;;  b'Strike Detected! reading of; -290; High, Low; 191, -143; Current Danger Level; 5; at tic; 16510205\r\n'
2021-12-03;16-39-14-867552  ;;;  b'Strike Detected! reading of; -194; High, Low; 191, -143; Current Danger Level; 6; at tic; 16510208\r\n'
2021-12-03;16-40-57-216736  ;;;  b'Strike Detected! reading of; -288; High, Low; 200, -157; Current Danger Level; 5; at tic; 16612557\r\n'
2021-12-03;16-49-28-001851  ;;;  b'Strike Detected! reading of; -216; High, Low; 192, -150; Current Danger Level; 4; at tic; 17123262'
2021-12-03;16-51-10-287328  ;;;  b'Strike Detected! reading of; 283; High, Low; 200, -159; Current Danger Level; 5; at tic; 17225639\r\n'
2021-12-03;16-52-06-483968  ;;;  b'Strike Detected! reading of; 312; High, Low; 231, -168; Current Danger Level; 5; at tic; 17281753'
2021-12-03;17-00-06-382931  ;;;  b'Strike Detected! reading of; -247; High, Low; 210, -160; Current Danger Level; 4; at tic; 17761755\r\n'
2021-12-03;17-00-06-498894  ;;;  b'Strike Detected! reading of; -241; High, Low; 210, -160; Current Danger Level; 5; at tic; 17761757'
2021-12-03;17-04-06-369472  ;;;  b'Strike Detected! reading of; 302; High, Low; 218, -169; Current Danger Level; 6; at tic; 18001682\r\n'
2021-12-03;17-08-12-739973  ;;;  b'Strike Detected! reading of; -214; High, Low; 193, -149; Current Danger Level; 4; at tic; 18248115\r\n'
2021-12-03;17-08-12-752968  ;;;  b'Strike Detected! reading of; -290; High, Low; 193, -149; Current Danger Level; 5; at tic; 18248117\r\n'
2021-12-03;17-16-43-624208  ;;;  b'Strike Detected! reading of; 309; High, Low; 205, -151; Current Danger Level; 4; at tic; 18758995\r\n'
2021-12-03;17-16-43-752166  ;;;  b'Strike Detected! reading of; -283; High, Low; 205, -151; Current Danger Level; 5; at tic; 18759037'
2021-12-03;17-18-26-053410  ;;;  b'Strike Detected! reading of; -283; High, Low; 232, -175; Current Danger Level; 6; at tic; 18861423\r\n'
2021-12-03;17-23-32-583609  ;;;  b'Strike Detected! reading of; -300; High, Low; 190, -143; Current Danger Level; 5; at tic; 19167978\r\n'
2021-12-03;17-23-32-602602  ;;;  b'Strike Detected! reading of; -219; High, Low; 190, -143; Current Danger Level; 6; at tic; 19167980\r\n'
2021-12-03;17-25-14-883157  ;;;  b'Strike Detected! reading of; -227; High, Low; 193, -149; Current Danger Level; 5; at tic; 19270175'
2021-12-03;17-26-57-100067  ;;;  b'Strike Detected! reading of; -276; High, Low; 221, -167; Current Danger Level; 6; at tic; 19372477\r\n'
